value,effect,n_cells,dimension,survey
22,0.00985824227800182,11,Age,GSS
27,0.02913388294738023,11,Age,GSS
32,0.025959087717978536,11,Age,GSS
37,0.03011457312255898,11,Age,GSS
42,-0.010330079535858249,11,Age,GSS
47,-0.009142392474108196,11,Age,GSS
52,-0.008148199118780484,11,Age,GSS
57,-0.044107396603933785,11,Age,GSS
62,-0.027789333425348083,11,Age,GSS
67,-0.007056552998973834,11,Age,GSS
72,0.005059156591042732,11,Age,GSS
77,-0.010854825758347715,11,Age,GSS
82,0.08325196920208963,11,Age,GSS
1970,-0.01443912664185533,13,Period,GSS
1975,-0.04399156359499087,13,Period,GSS
1980,-0.02072713909912691,13,Period,GSS
1985,0.0025567340871757663,13,Period,GSS
1990,0.027679010047618507,13,Period,GSS
1995,0.03633657529276967,13,Period,GSS
2000,0.038108394710169184,13,Period,GSS
2005,-0.02182125257090474,13,Period,GSS
2010,0.002827517307038798,13,Period,GSS
2015,-0.0012996127017522174,13,Period,GSS
2020,0.006076524334111076,13,Period,GSS
1888,0,1,Cohort,GSS
1893,-0.050349809566785586,2,Cohort,GSS
1898,-0.154879908944193,3,Cohort,GSS
1903,-0.13348062020288376,4,Cohort,GSS
1908,-0.11195913957940747,5,Cohort,GSS
1913,-0.08412088092329295,6,Cohort,GSS
1918,-0.07239993637473947,7,Cohort,GSS
1923,-0.019532500334392466,8,Cohort,GSS
1928,0.04652826402658465,9,Cohort,GSS
1933,0.04887849232239563,10,Cohort,GSS
1938,0.1039558289224927,11,Cohort,GSS
1943,0.09929690965536925,11,Cohort,GSS
1948,0.08653986441287548,11,Cohort,GSS
1953,0.0387071373727482,10,Cohort,GSS
1958,0.04434397095828619,9,Cohort,GSS
1963,-0.003243293975126238,8,Cohort,GSS
1968,-0.0220124307817265,7,Cohort,GSS
1973,-0.0697107536106738,6,Cohort,GSS
1978,-0.05193935193819997,5,Cohort,GSS
1983,-0.10528379020251977,4,Cohort,GSS
1988,-0.15090108088864485,3,Cohort,GSS
1993,-0.10770666678847407,2,Cohort,GSS
1998,-0.08220209200781925,1,Cohort,GSS
22,0.0035825352454796435,5,Age,NHANES
27,0.07244907932945846,5,Age,NHANES
32,0.04015487069222491,5,Age,NHANES
37,0.06568071070203652,5,Age,NHANES
42,0.009900600339449192,5,Age,NHANES
47,0.001970278131818842,5,Age,NHANES
52,-0.019162473384850554,5,Age,NHANES
57,-0.05016635090849384,5,Age,NHANES
62,-0.0058116607460270584,5,Age,NHANES
67,0.010392127769958839,5,Age,NHANES
72,8.798706614299157e-4,5,Age,NHANES
77,-0.02739424186389594,5,Age,NHANES
82,0.01787864351138633,5,Age,NHANES
2000,0.0678910483995289,13,Period,NHANES
2005,0.005322032472589071,13,Period,NHANES
2010,-0.020019729312992604,13,Period,NHANES
2015,-0.024750752519132564,13,Period,NHANES
2020,0.00598535932800073,13,Period,NHANES
1918,-0.1422369429138466,1,Cohort,NHANES
1923,-0.1862076873894487,2,Cohort,NHANES
1928,-0.09845484546893779,3,Cohort,NHANES
1933,-0.017870357336794873,4,Cohort,NHANES
1938,-5.413396994966568e-4,5,Cohort,NHANES
1943,0.039874591074777664,5,Cohort,NHANES
1948,0.039501601880594164,5,Cohort,NHANES
1953,0.03536065365477077,5,Cohort,NHANES
1958,3.1945027224091903e-4,5,Cohort,NHANES
1963,-0.01893462924515088,5,Cohort,NHANES
1968,0.02704126691633455,5,Cohort,NHANES
1973,-0.010180144309737744,5,Cohort,NHANES
1978,-0.0030384266216603173,5,Cohort,NHANES
1983,0.011092995467044564,4,Cohort,NHANES
1988,-0.03538537434248286,3,Cohort,NHANES
1993,-0.027850726438935602,2,Cohort,NHANES
1998,0.1158846333891983,1,Cohort,NHANES
22,0.025295638727531423,5,Age,MEPS
27,0.022954315106127332,5,Age,MEPS
32,0.02663206171876569,5,Age,MEPS
37,0.017625934969528786,5,Age,MEPS
42,0.01189643110862368,5,Age,MEPS
47,-0.007899121538133793,5,Age,MEPS
52,-0.01703112583579385,5,Age,MEPS
57,-0.018518250967716643,5,Age,MEPS
62,-0.015714214471486,5,Age,MEPS
67,0.011969385127083145,5,Age,MEPS
72,0.006812194007684274,5,Age,MEPS
77,-0.00982356207701538,5,Age,MEPS
82,0.014701407434859926,5,Age,MEPS
2000,-0.018998651095502993,13,Period,MEPS
2005,-0.020903494733239273,13,Period,MEPS
2010,-0.009806707453523043,13,Period,MEPS
2015,0.03850168004052505,13,Period,MEPS
2020,0.03377571664597826,13,Period,MEPS
1918,-0.15095973748274494,1,Cohort,MEPS
1923,-0.09978191061451969,2,Cohort,MEPS
1928,-0.05988045182039976,3,Cohort,MEPS
1933,-0.024399613689920052,4,Cohort,MEPS
1938,0.02406553116345611,5,Cohort,MEPS
1943,0.040673851019828525,5,Cohort,MEPS
1948,0.018122244437430622,5,Cohort,MEPS
1953,0.0021488539168400323,5,Cohort,MEPS
1958,0.011227722492462533,5,Cohort,MEPS
1963,0.006672385193857088,5,Cohort,MEPS
1968,7.939573704415889e-4,5,Cohort,MEPS
1973,-0.010755816959915518,5,Cohort,MEPS
1978,-0.012675152636842579,5,Cohort,MEPS
1983,-8.811359186952084e-4,4,Cohort,MEPS
1988,0.006827568094694314,3,Cohort,MEPS
1993,-0.04673205157260285,2,Cohort,MEPS
1998,-0.02402031831165763,1,Cohort,MEPS
22,-0.015004863546419287,9,Age,NHIS
27,0.030888837267663102,9,Age,NHIS
32,0.043867324424200896,9,Age,NHIS
37,0.04587424858704932,9,Age,NHIS
42,0.028613966462562805,9,Age,NHIS
47,-0.006529742330759974,9,Age,NHIS
52,-0.04170155479920427,9,Age,NHIS
57,-0.07290050506067587,9,Age,NHIS
62,-0.08642071177996236,9,Age,NHIS
67,-0.03529906940151415,9,Age,NHIS
72,-0.003374516863460165,9,Age,NHIS
77,0.01775934867610277,9,Age,NHIS
82,0.03562334158643733,9,Age,NHIS
1980,-0.037986580472444735,13,Period,NHIS
1985,0.001726835704393282,13,Period,NHIS
1990,0.007748726744261858,13,Period,NHIS
1995,0.0313820641890645,13,Period,NHIS
2000,0.004727015706710119,13,Period,NHIS
2005,-0.012389484952689427,13,Period,NHIS
2010,0.015624492436702367,13,Period,NHIS
2015,0.016273395289296326,13,Period,NHIS
2020,-0.03948670339534668,13,Period,NHIS
1898,-0.08040271987279102,1,Cohort,NHIS
1903,-0.008903947307364213,2,Cohort,NHIS
1908,-0.056653742176244457,3,Cohort,NHIS
1913,-0.07016950422465917,4,Cohort,NHIS
1918,-0.04949251614472496,5,Cohort,NHIS
1923,-0.039063805778713746,6,Cohort,NHIS
1928,0.010182915199676913,7,Cohort,NHIS
1933,0.04545364898752985,8,Cohort,NHIS
1938,0.07930115119612718,9,Cohort,NHIS
1943,0.07556681474449878,9,Cohort,NHIS
1948,0.06857616296647863,9,Cohort,NHIS
1953,0.029471538289941288,9,Cohort,NHIS
1958,0.01218494185993081,9,Cohort,NHIS
1963,-0.006783000543748086,8,Cohort,NHIS
1968,-0.021870923964531514,7,Cohort,NHIS
1973,-0.026371198612405035,6,Cohort,NHIS
1978,-0.051303407992118986,5,Cohort,NHIS
1983,-0.038354722380770534,4,Cohort,NHIS
1988,-0.04440196064857267,3,Cohort,NHIS
1993,-0.032281518573811674,2,Cohort,NHIS
1998,-0.02157239393192123,1,Cohort,NHIS
22,0.01956826278233228,7,Age,CPS
27,-0.006011056724180304,7,Age,CPS
32,0.027968309998393046,7,Age,CPS
37,0.04033703526673684,7,Age,CPS
42,0.041904614761181194,7,Age,CPS
47,0.013232236667247797,7,Age,CPS
52,-0.0017377568302180185,7,Age,CPS
57,-0.019137929226118004,7,Age,CPS
62,-0.018222829590790274,7,Age,CPS
67,-0.024717603783527293,7,Age,CPS
72,-0.005371523423823184,7,Age,CPS
77,-2.1054622033508553e-4,7,Age,CPS
82,0.02332301533345208,7,Age,CPS
1995,0.00711763536277731,13,Period,CPS
2000,6.035441298010308e-4,13,Period,CPS
2005,-0.016545704209137157,13,Period,CPS
2010,-0.02263643751018621,13,Period,CPS
2015,0.013433614374767122,13,Period,CPS
2020,0.013169837307881013,13,Period,CPS
2025,-0.0033319113057822163,13,Period,CPS
1913,-0.19164793180187267,1,Cohort,CPS
1918,-0.18549023605082904,2,Cohort,CPS
1923,-0.14245994949853338,3,Cohort,CPS
1928,-0.09294752233171688,4,Cohort,CPS
1933,-0.044228271649341976,5,Cohort,CPS
1938,0.007711743962820187,6,Cohort,CPS
1943,0.04788277309420844,7,Cohort,CPS
1948,0.03767072192238948,7,Cohort,CPS
1953,0.022521753447503547,7,Cohort,CPS
1958,0.018008750667696215,7,Cohort,CPS
1963,0.014533201346247549,7,Cohort,CPS
1968,0.019874754558663214,7,Cohort,CPS
1973,0.002165341708743971,7,Cohort,CPS
1978,-0.01783090728759721,6,Cohort,CPS
1983,-0.03401549220350697,5,Cohort,CPS
1988,-0.042427311490766506,4,Cohort,CPS
1993,-0.07365414796251428,3,Cohort,CPS
1998,-0.11856059640069638,2,Cohort,CPS
2003,-0.10803862637466777,1,Cohort,CPS
22,-0.02885451980790654,8,Age,BRFSS
27,-0.0032411094828681377,8,Age,BRFSS
32,0.019971742650187467,8,Age,BRFSS
37,0.037238720574485525,8,Age,BRFSS
42,0.01625415700299964,8,Age,BRFSS
47,-0.007298008080843498,8,Age,BRFSS
52,-0.019764080111905252,8,Age,BRFSS
57,-0.055950697337025734,8,Age,BRFSS
62,-0.056410550276022084,8,Age,BRFSS
67,-0.006276880506383475,8,Age,BRFSS
72,0.03236316799083838,8,Age,BRFSS
77,0.02585506840038211,8,Age,BRFSS
1990,0.05781860406967139,12,Period,BRFSS
1995,0.03524788905123551,12,Period,BRFSS
2000,-0.011917523735362043,12,Period,BRFSS
2005,-0.007753238314869365,12,Period,BRFSS
2010,-0.02235099126081294,12,Period,BRFSS
2015,-0.026126871618384454,12,Period,BRFSS
2020,0.031079836872928774,12,Period,BRFSS
2025,-0.03086439651273541,12,Period,BRFSS
1913,-0.23076672102593682,1,Cohort,BRFSS
1918,-0.2045758536628225,2,Cohort,BRFSS
1923,-0.18542478721589514,3,Cohort,BRFSS
1928,-0.11052041454808931,4,Cohort,BRFSS
1933,-0.040855455860726655,5,Cohort,BRFSS
1938,0.02448977917399192,6,Cohort,BRFSS
1943,0.048371636249971435,7,Cohort,BRFSS
1948,0.05422778967254574,8,Cohort,BRFSS
1953,0.03706271761899313,8,Cohort,BRFSS
1958,0.015623766391128422,8,Cohort,BRFSS
1963,0.01793781075197879,8,Cohort,BRFSS
1968,0.005699485070313556,8,Cohort,BRFSS
1973,-0.009452560600497605,7,Cohort,BRFSS
1978,-0.0353906889497982,6,Cohort,BRFSS
1983,-0.02927442979373935,5,Cohort,BRFSS
1988,0.005951822560776681,4,Cohort,BRFSS
1993,-0.027867828888324404,3,Cohort,BRFSS
1998,-0.07255097989514685,2,Cohort,BRFSS
2003,-0.021546805177872552,1,Cohort,BRFSS
