age_group,year,mean_srh,se,ci_lower,ci_upper
18-29,2000,3.8939,0.0171,3.8603,3.9275
18-29,2001,3.8692,0.0182,3.8336,3.9048
18-29,2002,3.9263,0.0158,3.8954,3.9572
18-29,2003,3.9591,0.0177,3.9245,3.9938
18-29,2004,3.9178,0.0189,3.8807,3.9549
18-29,2005,3.9251,0.0194,3.887,3.9631
18-29,2006,3.9226,0.0213,3.8809,3.9643
18-29,2007,3.9618,0.0184,3.9258,3.9979
18-29,2008,3.9599,0.0202,3.9203,3.9996
18-29,2009,3.897,0.0187,3.8603,3.9337
18-29,2010,3.9521,0.0229,3.9072,3.9971
18-29,2011,3.9746,0.0201,3.9351,4.0141
18-29,2012,3.9535,0.0208,3.9127,3.9942
18-29,2013,3.986,0.0167,3.9534,4.0187
18-29,2014,3.9989,0.0194,3.9609,4.0369
18-29,2015,3.9699,0.0207,3.9294,4.0105
18-29,2016,3.9793,0.0188,3.9424,4.0161
18-29,2017,4.0297,0.0184,3.9935,4.0658
18-29,2018,4.0456,0.0196,4.0073,4.0839
18-29,2019,4.0087,0.0226,3.9644,4.053
18-29,2020,4.0094,0.0292,3.9523,4.0665
18-29,2021,3.9667,0.0295,3.9088,4.0245
18-29,2022,3.9783,0.0343,3.9111,4.0454
18-29,2023,3.8606,0.0375,3.7871,3.9342
30-39,2000,3.7324,0.0209,3.6915,3.7733
30-39,2001,3.7641,0.0189,3.727,3.8012
30-39,2002,3.7894,0.0176,3.7548,3.8239
30-39,2003,3.8083,0.0187,3.7717,3.8449
30-39,2004,3.7865,0.0194,3.7484,3.8246000000000002
30-39,2005,3.7861,0.0222,3.7427,3.8296
30-39,2006,3.8053,0.0192,3.7676,3.843
30-39,2007,3.7782,0.0186,3.7416,3.8147
30-39,2008,3.7797,0.022,3.7365,3.8228
30-39,2009,3.7549,0.0201,3.7155,3.7943
30-39,2010,3.7301,0.0219,3.6872,3.773
30-39,2011,3.7093,0.0201,3.6699,3.7487
30-39,2012,3.7135,0.0201,3.6741,3.7529
30-39,2013,3.7376,0.0214,3.6956,3.7797
30-39,2014,3.8029,0.0215,3.7608,3.8451
30-39,2015,3.8108,0.0231,3.7655,3.8561
30-39,2016,3.785,0.0203,3.7453,3.8248
30-39,2017,3.8461,0.0191,3.8086,3.8835
30-39,2018,3.8654,0.0222,3.8219,3.9089
30-39,2019,3.8769,0.0213,3.8352,3.9187
30-39,2020,3.8644,0.0229,3.8195,3.9093
30-39,2021,3.7845,0.0277,3.7303,3.8387
30-39,2022,3.8317,0.0363,3.7605,3.9029
30-39,2023,3.7855,0.032,3.7227,3.8483
40-49,2000,3.5799,0.0241,3.5326,3.6272
40-49,2001,3.5909,0.0198,3.5521,3.6297
40-49,2002,3.5883,0.0196,3.5499,3.6268
40-49,2003,3.6246,0.018,3.5893,3.66
40-49,2004,3.6126,0.0206,3.5722,3.6531
40-49,2005,3.5944,0.0202,3.5549,3.634
40-49,2006,3.5764,0.0206,3.5361,3.6167
40-49,2007,3.62,0.0201,3.5806,3.6594
40-49,2008,3.5704,0.0193,3.5325,3.6083
40-49,2009,3.5742,0.0175,3.5399,3.6084
40-49,2010,3.5906,0.0206,3.5502,3.6309
40-49,2011,3.5295,0.0219,3.4865,3.5725
40-49,2012,3.5708,0.0237,3.5244,3.6173
40-49,2013,3.5904,0.0209,3.5494,3.6313
40-49,2014,3.6396,0.0253,3.59,3.6891
40-49,2015,3.6142,0.0229,3.5692,3.6592
40-49,2016,3.6247,0.0231,3.5795,3.67
40-49,2017,3.6841,0.0213,3.6423,3.7258
40-49,2018,3.6914,0.0216,3.649,3.7337
40-49,2019,3.678,0.0217,3.6355,3.7205
40-49,2020,3.6309,0.0297,3.5727,3.6891
40-49,2021,3.6581,0.0257,3.6077,3.7084
40-49,2022,3.6424,0.0308,3.582,3.7027
40-49,2023,3.6642,0.0365,3.5926,3.7358
50-59,2000,3.4317,0.0252,3.3823,3.4811
50-59,2001,3.4749,0.0207,3.4343,3.5155
50-59,2002,3.4493,0.0222,3.4058,3.4929
50-59,2003,3.462,0.0226,3.4177,3.5063
50-59,2004,3.4051,0.0212,3.3635,3.4467
50-59,2005,3.4094,0.0223,3.3657,3.4532
50-59,2006,3.4173,0.0226,3.373,3.4617
50-59,2007,3.4449,0.0212,3.4033,3.4865
50-59,2008,3.4265,0.0234,3.3806,3.4725
50-59,2009,3.4296,0.021,3.3885,3.4707
50-59,2010,3.4528,0.022,3.4095,3.496
50-59,2011,3.4572,0.0224,3.4133,3.5012
50-59,2012,3.4641,0.0242,3.4167,3.5114
50-59,2013,3.4709,0.0256,3.4207,3.5211
50-59,2014,3.4487,0.0226,3.4044,3.4929
50-59,2015,3.4585,0.0228,3.4138,3.5032
50-59,2016,3.5011,0.0254,3.4514,3.5509
50-59,2017,3.4897,0.0224,3.4458,3.5336
50-59,2018,3.5204,0.0239,3.4737,3.5672
50-59,2019,3.5025,0.024,3.4555,3.5495
50-59,2020,3.5178,0.0266,3.4657,3.57
50-59,2021,3.5131,0.0294,3.4555,3.5707
50-59,2022,3.5045,0.0293,3.4471,3.5619
50-59,2023,3.5659,0.0306,3.5059,3.6259
60-69,2000,3.2474,0.032,3.1845,3.3102
60-69,2001,3.2671,0.0259,3.2163,3.3178
60-69,2002,3.2665,0.0254,3.2167,3.3163
60-69,2003,3.3529,0.0269,3.3002,3.4057
60-69,2004,3.3087,0.0287,3.2524,3.365
60-69,2005,3.2975,0.0287,3.2412,3.3539
60-69,2006,3.3035,0.0281,3.2484,3.3586
60-69,2007,3.3261,0.0248,3.2775,3.3748
60-69,2008,3.3076,0.0258,3.2569,3.3582
60-69,2009,3.3549,0.024,3.3078,3.402
60-69,2010,3.38,0.0245,3.3319,3.4281
60-69,2011,3.3902,0.025,3.3411,3.4393
60-69,2012,3.3954,0.0242,3.348,3.4428
60-69,2013,3.369,0.0251,3.3199,3.4181
60-69,2014,3.3952,0.0277,3.3409,3.4496000000000002
60-69,2015,3.3888,0.0321,3.3259,3.4517
60-69,2016,3.3895,0.028,3.3346,3.4443
60-69,2017,3.4275,0.0247,3.3791,3.4759
60-69,2018,3.427,0.0254,3.3773,3.4767
60-69,2019,3.4057,0.0209,3.3646,3.4467
60-69,2020,3.4136,0.0263,3.3621,3.465
60-69,2021,3.4442,0.0233,3.3985,3.4899
60-69,2022,3.4356,0.0264,3.3839,3.4873
60-69,2023,3.4477,0.0288,3.3913,3.504
70-79,2000,2.9913,0.0306,2.9312,3.0513
70-79,2001,3.0202,0.0283,2.9648,3.0756
70-79,2002,3.0308,0.0294,2.9732,3.0885
70-79,2003,3.0729,0.0334,3.0074,3.1383
70-79,2004,3.0443,0.0278,2.9897,3.0988
70-79,2005,3.0742,0.0317,3.0121000000000002,3.1363
70-79,2006,3.1593,0.0311,3.0982,3.2203
70-79,2007,3.127,0.032,3.0644,3.1897
70-79,2008,3.193,0.032,3.1303,3.2558
70-79,2009,3.1635,0.0336,3.0976,3.2294
70-79,2010,3.1668,0.0348,3.0986,3.2351
70-79,2011,3.1849,0.0326,3.121,3.2488
70-79,2012,3.2266,0.0318,3.1644,3.2889
70-79,2013,3.2507,0.0346,3.1829,3.3186
70-79,2014,3.2736,0.0401,3.195,3.3523
70-79,2015,3.3188,0.03,3.2599,3.3777
70-79,2016,3.3188,0.0352,3.2498,3.3879
70-79,2017,3.3204,0.0341,3.2537,3.3872
70-79,2018,3.342,0.0281,3.2869,3.397
70-79,2019,3.3329,0.0274,3.2792,3.3866
70-79,2020,3.3627,0.0272,3.3093,3.416
70-79,2021,3.3949,0.0227,3.3505,3.4393
70-79,2022,3.3347,0.0349,3.2663,3.4032
70-79,2023,3.3938,0.0326,3.3299,3.4578
80-89,2000,2.762,0.0511,2.6619,2.8621
80-89,2001,2.8468,0.0362,2.7758,2.9179
80-89,2002,2.8098,0.0392,2.733,2.8865
80-89,2003,2.9228,0.0405,2.8433,3.0022
80-89,2004,2.9254,0.0503,2.8269,3.0239
80-89,2005,2.9403,0.0502,2.842,3.0387
80-89,2006,2.8941,0.0404,2.8149,2.9732
80-89,2007,2.9223,0.0421,2.8398,3.0048
80-89,2008,2.9381,0.0436,2.8526,3.0235
80-89,2009,2.9774,0.0426,2.8939,3.0609
80-89,2010,2.9466,0.0391,2.87,3.0233
80-89,2011,3.0071,0.0357,2.9372,3.077
80-89,2012,2.9947,0.0376,2.921,3.0685
80-89,2013,3.068,0.0464,2.9771,3.1589
80-89,2014,3.0615,0.0456,2.972,3.1509
80-89,2015,3.114,0.0409,3.0339,3.1942
80-89,2016,3.1102,0.0417,3.0283,3.192
80-89,2017,3.0345,0.0374,2.9612,3.1079
80-89,2018,3.0006,0.0361,2.9298,3.0714
80-89,2019,3.058,0.0365,2.9863,3.1296
80-89,2020,3.063,0.0323,2.9997,3.1263
80-89,2021,3.078,0.0363,3.0069,3.1491
80-89,2022,3.1203,0.0419,3.0381,3.2025
80-89,2023,3.2825,0.0481,3.1883,3.3767
